StartTime,EndTIme,Count
12:01 AM - 12 Oct 2016,01:01 AM - 12 Oct 2016,42
01:01 AM - 12 Oct 2016,02:01 AM - 12 Oct 2016,40
02:01 AM - 12 Oct 2016,03:01 AM - 12 Oct 2016,57
03:01 AM - 12 Oct 2016,04:01 AM - 12 Oct 2016,62
04:01 AM - 12 Oct 2016,05:01 AM - 12 Oct 2016,66
05:01 AM - 12 Oct 2016,06:01 AM - 12 Oct 2016,100
06:01 AM - 12 Oct 2016,07:01 AM - 12 Oct 2016,102
07:01 AM - 12 Oct 2016,08:01 AM - 12 Oct 2016,185
08:01 AM - 12 Oct 2016,09:01 AM - 12 Oct 2016,184
09:01 AM - 12 Oct 2016,10:01 AM - 12 Oct 2016,172
10:01 AM - 12 Oct 2016,11:01 AM - 12 Oct 2016,171
11:01 AM - 12 Oct 2016,12:01 PM - 12 Oct 2016,216
12:01 PM - 12 Oct 2016,01:01 PM - 12 Oct 2016,262
01:01 PM - 12 Oct 2016,02:01 PM - 12 Oct 2016,275
02:01 PM - 12 Oct 2016,03:01 PM - 12 Oct 2016,413
03:01 PM - 12 Oct 2016,04:01 PM - 12 Oct 2016,772
04:01 PM - 12 Oct 2016,05:01 PM - 12 Oct 2016,3316
05:01 PM - 12 Oct 2016,06:01 PM - 12 Oct 2016,19
06:01 PM - 12 Oct 2016,07:01 PM - 12 Oct 2016,23
07:01 PM - 12 Oct 2016,08:01 PM - 12 Oct 2016,39
08:01 PM - 12 Oct 2016,09:01 PM - 12 Oct 2016,45
09:01 PM - 12 Oct 2016,10:01 PM - 12 Oct 2016,63
10:01 PM - 12 Oct 2016,11:01 PM - 12 Oct 2016,67
11:01 PM - 12 Oct 2016,12:01 AM - 13 Oct 2016,88
12:01 AM - 13 Oct 2016,01:01 AM - 13 Oct 2016,75
01:01 AM - 13 Oct 2016,02:01 AM - 13 Oct 2016,102
02:01 AM - 13 Oct 2016,03:01 AM - 13 Oct 2016,101
03:01 AM - 13 Oct 2016,04:01 AM - 13 Oct 2016,78
04:01 AM - 13 Oct 2016,05:01 AM - 13 Oct 2016,76
05:01 AM - 13 Oct 2016,06:01 AM - 13 Oct 2016,100
06:01 AM - 13 Oct 2016,07:01 AM - 13 Oct 2016,124
07:01 AM - 13 Oct 2016,08:01 AM - 13 Oct 2016,134
08:01 AM - 13 Oct 2016,09:01 AM - 13 Oct 2016,157
09:01 AM - 13 Oct 2016,10:01 AM - 13 Oct 2016,196
10:01 AM - 13 Oct 2016,11:01 AM - 13 Oct 2016,189
11:01 AM - 13 Oct 2016,12:01 PM - 13 Oct 2016,244
12:01 PM - 13 Oct 2016,01:01 PM - 13 Oct 2016,331
01:01 PM - 13 Oct 2016,02:01 PM - 13 Oct 2016,473
02:01 PM - 13 Oct 2016,03:01 PM - 13 Oct 2016,595
03:01 PM - 13 Oct 2016,04:01 PM - 13 Oct 2016,1198
04:01 PM - 13 Oct 2016,05:01 PM - 13 Oct 2016,3926
05:01 PM - 13 Oct 2016,06:01 PM - 13 Oct 2016,20
06:01 PM - 13 Oct 2016,07:01 PM - 13 Oct 2016,22
07:01 PM - 13 Oct 2016,08:01 PM - 13 Oct 2016,37
08:01 PM - 13 Oct 2016,09:01 PM - 13 Oct 2016,34
09:01 PM - 13 Oct 2016,10:01 PM - 13 Oct 2016,44
10:01 PM - 13 Oct 2016,11:01 PM - 13 Oct 2016,21
11:01 PM - 13 Oct 2016,12:01 AM - 14 Oct 2016,59
12:01 AM - 14 Oct 2016,01:01 AM - 14 Oct 2016,49
01:01 AM - 14 Oct 2016,02:01 AM - 14 Oct 2016,55
02:01 AM - 14 Oct 2016,03:01 AM - 14 Oct 2016,63
03:01 AM - 14 Oct 2016,04:01 AM - 14 Oct 2016,69
04:01 AM - 14 Oct 2016,05:01 AM - 14 Oct 2016,66
05:01 AM - 14 Oct 2016,06:01 AM - 14 Oct 2016,98
06:01 AM - 14 Oct 2016,07:01 AM - 14 Oct 2016,107
07:01 AM - 14 Oct 2016,08:01 AM - 14 Oct 2016,116
08:01 AM - 14 Oct 2016,09:01 AM - 14 Oct 2016,206
09:01 AM - 14 Oct 2016,10:01 AM - 14 Oct 2016,236
10:01 AM - 14 Oct 2016,11:01 AM - 14 Oct 2016,242
11:01 AM - 14 Oct 2016,12:01 PM - 14 Oct 2016,343
12:01 PM - 14 Oct 2016,01:01 PM - 14 Oct 2016,306
01:01 PM - 14 Oct 2016,02:01 PM - 14 Oct 2016,582
02:01 PM - 14 Oct 2016,03:01 PM - 14 Oct 2016,570
03:01 PM - 14 Oct 2016,04:01 PM - 14 Oct 2016,1075
04:01 PM - 14 Oct 2016,05:01 PM - 14 Oct 2016,3709
05:01 PM - 14 Oct 2016,06:01 PM - 14 Oct 2016,22
06:01 PM - 14 Oct 2016,07:01 PM - 14 Oct 2016,26
07:01 PM - 14 Oct 2016,08:01 PM - 14 Oct 2016,26
08:01 PM - 14 Oct 2016,09:01 PM - 14 Oct 2016,30
09:01 PM - 14 Oct 2016,10:01 PM - 14 Oct 2016,52
10:01 PM - 14 Oct 2016,11:01 PM - 14 Oct 2016,85
11:01 PM - 14 Oct 2016,12:01 AM - 15 Oct 2016,63
12:01 AM - 15 Oct 2016,01:01 AM - 15 Oct 2016,51
01:01 AM - 15 Oct 2016,02:01 AM - 15 Oct 2016,53
02:01 AM - 15 Oct 2016,03:01 AM - 15 Oct 2016,71
03:01 AM - 15 Oct 2016,04:01 AM - 15 Oct 2016,75
04:01 AM - 15 Oct 2016,05:01 AM - 15 Oct 2016,112
05:01 AM - 15 Oct 2016,06:01 AM - 15 Oct 2016,114
06:01 AM - 15 Oct 2016,07:01 AM - 15 Oct 2016,124
07:01 AM - 15 Oct 2016,08:01 AM - 15 Oct 2016,162
08:01 AM - 15 Oct 2016,09:01 AM - 15 Oct 2016,248
09:01 AM - 15 Oct 2016,10:01 AM - 15 Oct 2016,282
10:01 AM - 15 Oct 2016,11:01 AM - 15 Oct 2016,257
11:01 AM - 15 Oct 2016,12:01 PM - 15 Oct 2016,237
12:01 PM - 15 Oct 2016,01:01 PM - 15 Oct 2016,249
01:01 PM - 15 Oct 2016,02:01 PM - 15 Oct 2016,342
02:01 PM - 15 Oct 2016,03:01 PM - 15 Oct 2016,422
03:01 PM - 15 Oct 2016,04:01 PM - 15 Oct 2016,749
04:01 PM - 15 Oct 2016,05:01 PM - 15 Oct 2016,3706
05:01 PM - 15 Oct 2016,06:01 PM - 15 Oct 2016,23
06:01 PM - 15 Oct 2016,07:01 PM - 15 Oct 2016,43
07:01 PM - 15 Oct 2016,08:01 PM - 15 Oct 2016,72
08:01 PM - 15 Oct 2016,09:01 PM - 15 Oct 2016,47
09:01 PM - 15 Oct 2016,10:01 PM - 15 Oct 2016,42
10:01 PM - 15 Oct 2016,11:01 PM - 15 Oct 2016,42
11:01 PM - 15 Oct 2016,12:01 AM - 16 Oct 2016,65
12:01 AM - 16 Oct 2016,01:01 AM - 16 Oct 2016,45
01:01 AM - 16 Oct 2016,02:01 AM - 16 Oct 2016,66
02:01 AM - 16 Oct 2016,03:01 AM - 16 Oct 2016,102
03:01 AM - 16 Oct 2016,04:01 AM - 16 Oct 2016,72
04:01 AM - 16 Oct 2016,05:01 AM - 16 Oct 2016,95
