index,StartTime,EndTime,Lat,Long,Count
240,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,43.865,125.3399,1
241,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,-8.83828,13.23442,6
242,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,5.319996,-4.04004,11
243,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,9.03331,38.7,2
244,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,10.78002,106.695,21
245,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,13.08998,80.27999,6
246,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,15.58807,32.53417,16
247,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,16.78335,96.16667,2
248,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,17.39998,78.47995,10
249,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,21.19998,72.84003,1
250,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,22.32999,91.79996,1
251,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,22.49496,88.32467,14
252,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,22.58039,88.32994,3
253,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,23.03005,72.58,5
254,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,23.72305,90.40857,5
255,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,26.45999,80.31999,2
256,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,26.92113,75.80998,7
257,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,30.58003,114.27,2
258,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,30.67,104.07,19
259,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,31.55997,74.35002,7
260,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,32.05001,118.7799,5
261,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,33.33864,44.39386,4
